ORDER,FAMILY,FEEDING_GROUP,COUNT,ENVIRON,SITE,CLINGER,INTOLERANT,LONGLIVED,PREDATOR,TOLERANT
Plecoptera,Capniidae,Predator,20,Lab,ExampleStream,No,No,No,No,No
Diptera,Tipulidae,Filtering Collector,26,Lab,ExampleStream,No,No,No,No,No
Coleoptera,Hydrophilidae,Scavenger,3,Lab,ExampleStream,No,No,Yes,Yes,No
Plecoptera,Nemourinae,Shredder,15,Lab,ExampleStream,No,No,No,No,No
Diptera,Elmidae,Filtering Collector,45,Lab,ExampleStream,Yes,No,Yes,No,No
Tricoptera,Glossosomatinae,Scraper,15,Lab,ExampleStream,Yes,No,No,No,No
Annelida,Hirudinidae,Filtering Collector,36,Lab,ExampleStream,No,No,No,Yes,No
Diptera,Chironomidae,Gathering Collector,42,Lab,ExampleStream,No,No,No,No,No
Tricoptera,Hydropsychidae,Filtering Collector,15,Lab,ExampleStream,Yes,No,No,No,No
Diptera,Psychididae,Filtering Collector,22,Lab,ExampleStream,No,No,No,No,No
Tricoptera,Uenoidae,Scraper,28,Lab,ExampleStream,No,No,No,No,No
Plecoptera,Pteronarcyidae,Shredder,18,Lab,ExampleStream,No,No,Yes,No,No
Tricoptera,Brachycentridae,Filtering Collector,17,Lab,ExampleStream,Yes,No,No,No,No
Amphipoda,Gammaridae,Shredder,20,Lab,ExampleStream,No,No,No,No,Yes
Diptera,Simulidae,Filtering Collector,20,Lab,ExampleStream,Yes,No,No,No,No
Plecoptera,Chloroperlidae,Shredder,17,Lab,ExampleStream,Yes,No,No,Yes,No
Megaloptera,Sialidae,Shredder,4,Lab,ExampleStream,No,No,No,Yes,No
